Name,Product/Service type,Description,Sales price,Purchase price,Inventory start date,Quantity on hand,Deleted
Uncured & Smoked Hocks,Service,Vegetable Celery Cure,$3.50,--,--,--,No
Uncured & Smoked Jowl,Service,Vegetable Celery Cure,$3.50,--,--,--,No
Unscheduled Animal Drop-Off,Service,per animal,$100.00,--,--,--,No
Unseasoned 1 lb Ground Pork,Service,Unseasoned 1 lb Ground Pork,$0.40,--,--,--,No
Unseasoned 10 lb Ground Pork,Service,Unseasoned 10 lb Ground Pork,$0.40,--,--,--,No
Unseasoned 2 lb Ground Pork,Service,Unseasoned 2 lb Ground Pork,$0.40,--,--,--,No
Unseasoned 5 lb Ground Pork,Service,Unseasoned 5 lb Ground Pork,$0.40,--,--,--,No
Value Added Services:Error Credit,Service,--,--,--,--,--,No
Vehicle:Truck Rental,Service,Truck Rental,$100.00,--,--,--,No
Wholesale,Service,--,$0.00,--,--,--,No
